,cod_localidad,id_provincia,id_departamento,categoria,provincia,localidad,nombre,domicilio,código postal,número de teléfono,mail,web
0,06588100,06,06588,Espacios de Exhibición Patrimonial,Buenos Aires,9 de Julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,B6500EVL,2317425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar
1,06077010,06,06077,Espacios de Exhibición Patrimonial,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,B2740FMJ,2478452 931,museoarrecifes@hotmail.com,
2,06035010,06,06035,Espacios de Exhibición Patrimonial,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,S3561AKT,3482481 200,,
3,06035010,06,06035,Espacios de Exhibición Patrimonial,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",B1870CBC,114205 9567,,
4,06049020,06,06049,Espacios de Exhibición Patrimonial,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,B7300XAA,2281434 811,museoazul@yahoo.com,
5,06056010,06,06056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,B8000HQJ,291459 4006,mac@bblanca.com.ar,
6,06056010,06,06056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,B8003APV,291488 3266,,
7,06056010,06,06056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,B8000DKA,291451 0675,,
8,06056010,06,06056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,B8000HQJ,291459 4006,mac@bblanca.com.ar,
9,06056010,06,06056,Espacios de Exhibición Patrimonial,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,B8000FLD,291456 3117,,
10,06063010,06,06063,Espacios de Exhibición Patrimonial,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,B7620BGN,2266425 540,,
11,06063010,06,06063,Espacios de Exhibición Patrimonial,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,B7620CFA,2266421 800,,
